gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
NO2,4,xgboost,5,0.112484996891412,0.1146623535671804,-0.002177356675768391,0.6995550367684407,0.1843346865970221,0.0371050970217674,5,191
NO2,4,xgboost,10,0.112484996891412,0.0937949087630048,0.01869008812840721,0.424007280053918,0.1544486233171517,0.0371050970217674,10,191
NO2,4,xgboost,20,0.112484996891412,0.0984617963199422,0.014023200571469802,0.4069460160898345,0.1525981491178882,0.0371050970217674,20,191
NO2,4,xgboost,50,0.112484996891412,0.0936983273310476,0.0187866695603644,0.2305690038064199,0.1334682000554548,0.0371050970217674,50,191
NO2,5,pls,0,0.1359637437079492,0.1359637437079492,0.0,,,0.2030452461242472,0,195
NO2,5,pls,2,0.1359637437079492,0.1157278296649504,0.020235914042998793,0.8919596256961975,0.2138223100774204,0.2030452461242472,2,195
NO2,5,pls,5,0.1359637437079492,0.114624572933952,0.021339170773997204,0.2989374394761908,0.1468011262939324,0.2030452461242472,5,195
NO2,5,pls,10,0.1359637437079492,0.1118904870446356,0.0240732566633136,0.5083715851412527,0.1704706022314625,0.2030452461242472,10,195
NO2,5,pls,20,0.1359637437079492,0.1117764913616073,0.024187252346341892,0.18031895306128,0.1333953017516723,0.2030452461242472,20,195
NO2,5,pls,50,0.1359637437079492,0.1120900229651226,0.023873720742826593,0.2348341475894236,0.1395564082943335,0.2030452461242472,50,195
NO2,5,random_forest,0,0.1221020467552883,0.1221020467552883,0.0,,,0.1491060017077206,0,195
NO2,5,random_forest,2,0.1221020467552883,0.1536311838797125,-0.031529137124424206,1.535486927247096,0.269416522825622,0.1491060017077206,2,195
